Rank	Ragione sociale	Partita IVA	P.IVA valida	Codice fiscale	CCIAA	N. REA	Forma giuridica	Indirizzo sede legale	CAP	Comune	Prov.	Regione	Capitale sociale (€)	ATECO	Attività (ATECO)	Settore	Data iscrizione	Stato attività	Fatturato (€)	Anno bilancio	Dipendenti	PEC	VIES	Denominazione VIES	Indirizzo VIES	Fonte dati anagrafici	Fonte classifica
120	IKEA ITALIA RETAIL S.R.L.	02992760963	SI	02992760963	MI	1476140	SOCIETA' A RESPONSABILITA' LIMITATA	Strada Provinciale 208 N 3	20061	Carugate	MI	Lombardia	7800000	47.55.1	Commercio al dettaglio di mobili per la casa	Commercio	05/01/1996	Attiva	2221492200	2024	7645	ikeaitaliaretail@legalmail.it	SI	IKEA ITALIA RETAIL S.R.L.	STRADA PROVINCIALE 208 N 3 20061 CARUGATE MI	https://www.aziende.it/ikea-italia-retail-s-r-l	monitoraitalia.it
121	ARVAL SERVICE LEASE ITALIA S.P.A.	04911190488	SI	00879960524	FI	469866	Società per Azioni	Via Sette Regole 21	50018	Scandicci	FI	Toscana	158000000	77.11	Noleggio di autovetture ed autoveicoli leggeri	Altri servizi	08/09/1998	Attiva	2186876200	2024	1225	servizigenerali@arval.legalmail.it	SI	ARVAL SERVICE LEASE ITALIA S.P.A.	VIA SETTE REGOLE 21 50018 SCANDICCI FI	https://www.aziende.it/arval-service-lease-italia-s-p-a	monitoraitalia.it
122	SERVIZI ENERGIA ITALIA S.P.A.	03843480272	SI	03843480272	MI	1914932	SOCIETA' PER AZIONI	Piazza Tina Modotti 5	20138	Milano	MI	Lombardia	20000000	71.12.1	Attività degli studi di ingegneria	Costruzioni	01/11/2009	Attiva	2174631000	2024	1	servizienergiaitalia@pec.saipem.com	SI	SERVIZI ENERGIA ITALIA S.P.A.	PIAZZA TINA MODOTTI 5 20138 MILANO MI	https://www.aziende.it/servizi-energia-italia-s-p-a	monitoraitalia.it
123	SERVIZIO ELETTRICO NAZIONALE S.P.A.	09633951000	SI	09633951000		1177794	SOCIETA' PER AZIONI	VIA LUIGI BOCCHERINI 15	00198	ROMA	RM	Lazio	10000000	3515	Commercio di energia elettrica	Energia	01/01/2008	Attiva	2173086600	2024	638		NO			https://www.aziende.it/servizio-elettrico-nazionale-s-p-a	monitoraitalia.it
124	PRYSMIAN POWERLINK S.R.L.	05931070964	SI	05931070964		1859488	SOCIETA' A RESPONSABILITA' LIMITATA	VIA CHIESE 6	20126	MILANO	MI	Lombardia	200000000	2732	Fabbricazione di altri fili e cavi elettronici ed elettrici	Manifatturiero	01/01/2008	Attiva	2113141300	2024	1386		NO			https://www.aziende.it/prysmian-powerlink-s-r-l	monitoraitalia.it
125	RANDSTAD ITALIA S.P.A.	12730090151	SI	12730090151		1581244	SOCIETA' PER AZIONI	VIA ROBERTO LEPETIT 8/10	20124	MILANO	MI	Lombardia	27110320	782	Attivita' di agenzie di lavoro interinale e altre attivita' di fornitura di risorse umane	Altri servizi	20/07/1999	Attivo	2106060100	2024	56702		NO			https://www.aziende.it/randstad-italia-s-p-a	monitoraitalia.it
126	MEDIAMARKET S.P.A.	02630120166	SI	02180760965	MB	1354742	Società per Azioni	Via Furlanelli 69	20843	Verano Brianza	MB	Lombardia	2000000	47.12.1	Commercio al dettaglio non specializzato con prevalenza di apparecchiature informatiche ed elettrodomestici	Commercio	21/12/1997	Attiva	2104137900	2024	5103	mediamarket@mediamarket.telecompost.it	SI	MEDIAMARKET S.P.A.	VIA FURLANELLI 69 20843 VERANO BRIANZA MB	https://www.aziende.it/mediamarket-spa	monitoraitalia.it
127	MEGAMARK S.R.L.	02969690615	SI	02969690615	BA	490358	Società a Responsabilità Limitata	Strada Provinciale Trani-andria Km	76125	Trani	BT	Puglia	6000000	46.9	Commercio all'ingrosso non specializzato	Commercio	01/01/2011	Attiva	2103091500	2024	183	megamark@pec.it	SI	MEGAMARK S.R.L.	STRADA PROVINCIALE TRANI-ANDRIA KM 76125 TRANI BT	https://www.aziende.it/megamark-s-r-l	monitoraitalia.it
128	GESCO SOCIETA' COOPERATIVA AGRICOLA IN BREVE GESCO S.C.A	02522130406	SI	02522130406		277774	SOCIETA' COOPERATIVA	VIA DEL RIO 400	47522	CESENA	FC	Emilia-Romagna	1032000	463211	Commercio all'ingrosso di carni fresche	Manifatturiero	01/07/1998	Attivo	2100949600	2024	1285		SI	GESCO SOCIETA' COOPERATIVA AGRICOLA IN BREVE GESCO S.C.A.	VIA DEL RIO 400 47522 CESENA FC	https://www.aziende.it/gesco-societa-cooperativa-agricola	monitoraitalia.it
129	SORGENIA TRADING S.P.A.	06527860966	SI	06527860966	MI	1897739	SOCIETA' PER AZIONI	Via Alessandro Algardi 4	20148	Milano	MI	Lombardia	20000000	35.15	Commercio di energia elettrica	Energia	12/10/2009	Attiva	2079597100	2024	4	sorgenia.trading@legalmail.it	SI	SORGENIA TRADING SPA	VIA ALESSANDRO ALGARDI 4 20148 MILANO MI	https://www.aziende.it/sorgenia-trading-s-p-a	monitoraitalia.it
130	SAMSUNG ELECTRONICS ITALIA S.P.A.	11325690151	SI	10352790157	MI	1365442	Società per Azioni	Via Mike Bongiorno 9	20124	Milano	MI	Lombardia	33850000	46.43.2	Commercio all'ingrosso di supporti registrati, audio, video (Cd, Dvd e altri supporti)	Manifatturiero	24/09/1991	Attiva	2061737200	2024	487	samsung.italia@cgn.legalmail.it	SI	SAMSUNG ELECTRONICS ITALIA S.P.A.	VIA MIKE BONGIORNO 9, 20124 MILANO MI	https://www.aziende.it/samsung-electronics-italia-s-p-a	monitoraitalia.it
131	UNICOMM S.R.L.	01274580248	SI	01274580248	VI	157053	Società a responsabilità limitata	Via Enrico Mattei 50	36031	Dueville	VI	Veneto	5000000	47.11.02	Commercio al dettaglio non specializzato con prevalenza di altri prodotti alimentari, bevande o tabacchi	Commercio	27/11/1980	Attiva	2061554800	2024	5402	unicommsrl@legalmail.it	SI	UNICOMM S.R.L.	VIA ENRICO MATTEI 50, 36031 DUEVILLE VI	https://www.aziende.it/unicomm-s-r-l	monitoraitalia.it
132	LUIGI LAVAZZA - SOCIETA' PER AZIONI ABBREVIABILE ANCHE NELLA SIGLA: LAVAZZA S.P.A.	00470550013	SI	00470550013		257143	SOCIETA' PER AZIONI	VIA BOLOGNA 32	10152	TORINO	TO	Piemonte	25090000	108302		Manifatturiero	03/12/1948	Attiva	2040244300	2024			SI	LUIGI LAVAZZA S.P.A.	VIA BOLOGNA N 32 10152 TORINO TO	https://www.aziende.it/luigi-lavazza-spa	monitoraitalia.it
133	COMMERCIANTI INDIPENDENTI ASSOCIATI - SOCIETA' COOPERATIVA	00138950407	SI	00138950407		71556	SOCIETA' COOPERATIVA	VIA NAVICELLA 22	47122	FORLI'	FC	Emilia-Romagna	110225828	4639		Commercio	23/09/1959	Attiva	2032649700	2024			SI	COMMERCIANTI INDIPENDENTI ASSOCIATI - SOCIETA' COOPERATIVA	VIA NAVICELLA 22 47122 FORLI' FC	https://www.aziende.it/commercianti-indipendenti-associati-sc	monitoraitalia.it
134	EG ITALIA S.P.A.	09964350962	SI	09964350962	RM	1543604	Società per Azioni	Viale Alexandre Gustave Eiffel 13	00148	Roma	RM	Lazio	695180	46.81	Commercio all'ingrosso di combustibili solidi, liquidi, gassosi e di prodotti derivati	Petrolchimica	07/03/2018	Attiva	2030901400	2024	123	egitaliaspa@legalmail.it	SI	EG ITALIA SPA	VIALE ALEXANDRE GUSTAVE EIFFEL 13 00148 ROMA RM	https://www.aziende.it/eg-italia-s-p-a	monitoraitalia.it
135	COMPUTER GROSS S.P.A.	04801490485	SI	02500250168		487781	Società per Azioni	Via Del Pino 1	50053	Empoli	FI	Toscana	40000000	46.51	Commercio all'ingrosso di computer, apparecchiature informatiche periferiche e di software	Commercio	22/01/1997	Attiva	1987208400	2024			SI	COMPUTER GROSS S.P.A.	VIA DEL PINO 1 50053 EMPOLI FI	https://www.aziende.it/computer-gross-s-p-a	monitoraitalia.it
136	MEDIOBANCA BANCA DI CREDITO FINANZIARIO SOCIETA' PER AZIONI	00714490158	SI	00714490158		343508	SOCIETA' PER AZIONI	PIAZZETTA ENRICO CUCCIA 1	20121	MILANO	MI	Lombardia	524568377	64191		Finanza	10/04/1946	Attiva	1969084300	2024			NO			https://www.aziende.it/mediobanca-banca-di-credito-finanziario-spa	monitoraitalia.it
137	IPER MONTEBELLO S.P.A.	03585750155	SI	03585750155	MI	621918	SOCIETA' PER AZIONI	Via Marco Ulpio Traiano 57	20149	Milano	MI	Lombardia	50000000	47.11.02	Commercio al dettaglio non specializzato con prevalenza di altri prodotti alimentari, bevande o tabacchi	Commercio	08/08/1983	Attiva	1954687000	2024	6769	ipermontebello@legalmail.it	SI	IPER MONTEBELLO S.P.A.	VIA MARCO ULPIO TRAIANO 57 20149 MILANO MI	https://www.aziende.it/iper-montebello-s-p-a	monitoraitalia.it
138	ERMENEGILDO ZEGNA N.V	00154990022	SI	00154990022		39389	Società costituita in base a leggi di altro stato	VIA ROMA 99/100	13835	VALDILANA	BI	Piemonte		701	Attivita' di sedi centrali	Manifatturiero	01/01/1945		1946647000	2024	28		SI	ERMENEGILDO ZEGNA N.V.	VIA ROMA 99/100 13835 VALDILANA BI	https://www.aziende.it/ermenegildo-zegna-n-v	monitoraitalia.it
139	MARR S.P.A.	02686290400	SI	01836980365	RN	276618	SOCIETA' PER AZIONI	Via Spagna 20	47921	Rimini	RN	Emilia-Romagna	33282715	46.38	Commercio all'ingrosso di altri prodotti alimentari, inclusi pesci, crostacei e molluschi	Commercio	13/06/1988	Attiva	1920636900	2024	929	marr@legalmail.it	SI	MARR S.P.A.	VIA SPAGNA 20 47921 RIMINI RN	https://www.aziende.it/marr-s-p-a	monitoraitalia.it
140	SOCIETA' PER AZIONI*MICHELIN ITALIANA*S.A.M.I	00570070011	SI	00570070011		108661	SOCIETA' PER AZIONI	CORSO ROMANIA 546	10156	TORINO	TO	Piemonte	77460000	22111		Manifatturiero	15/07/1930	Attiva	1915709700	2024			SI	SOCIETA' PER AZIONI MICHELIN ITALIANA S.A.M.I. CON SOCIO UNI	CORSO ROMANIA 546 10156 TORINO TO	https://www.aziende.it/societa-per-azioni-michelin-italiana	monitoraitalia.it
141	BRT S.P.A.	04507990150	SI		MI	1734257	SOCIETA' PER AZIONI	Piazzale Luigi Cadorna 4	20123	Milano	MI	Lombardia	24000000	49.41	Trasporto di merci su strada	Trasporti	22/03/2006	Attiva	1912619600	2024	3021	brt@pec.brt.eu	SI	BRT S.p.A.	PIAZZALE CADORNA 4 20123 MILANO MI	https://www.aziende.it/brt-s-p-a	monitoraitalia.it
142	PAM PANORAMA S.P.A.	02036440275	SI		VE	193934	Società per azioni	Via Del Commercio 27	30038	Spinea	VE	Veneto	51600000	47.11	Commercio al dettaglio in esercizi non specializzati con prevalenza di prodotti alimentari e bevande	Commercio	17/04/1986	Attiva	1911053200	2024	6409	pampanorama@pec.gruppopam.it	SI	PAM PANORAMA S.P.A.	VIA DEL COMMERCIO 27 30038 SPINEA VE	https://www.aziende.it/pam-panorama-s-p-a	monitoraitalia.it
143	IES ITALIANA ENERGIA E SERVIZI S.P.A.	03123470100	SI	00685490377	MN	167189	SOCIETA' PER AZIONI	Strada Cipata 79	46100	Mantova	MN	Lombardia	50000	19.2	FABBRICAZIONE DI PRODOTTI DERIVANTI DALLA RAFFINAZIONE DEL PETROLIO	Energia	15/11/1989	Attiva	1897036900	2024	89	direzione@pec.iesitaliana.it	SI	IES ITALIANA ENERGIA E SERVIZI S.P.A.	STRADA CIPATA 79 46100 MANTOVA MN	https://www.aziende.it/ies-italiana-energia-e-servizi-s-p-a	monitoraitalia.it
144	ALESSANDRO PATANE' S.R.L.	01943060598	SI	01943060598		133997	SOCIETA' A RESPONSABILITA' LIMITATA	VIA AMASENO 24	04100	LATINA	LT	Lazio	10000	629	Altre attivita' dei servizi connessi alle tecnologie dell'informazione e dell'informatica	Altri servizi	01/10/1999	Attivo	1890000000	2024	0		NO			https://www.aziende.it/alessandro-patane-srl	monitoraitalia.it
145	MICROSOFT S.R.L.	08106710158	SI	08106710158	MI	1207123	Società a Responsabilità Limitata	Viale Pasubio 21 - Microsoft House	20154	Milano	MI	Lombardia	520000	46.50.1	Commercio all'ingrosso di computer, unita' periferiche e software	Altri servizi	19/10/1987	Attiva	1883372000	2024	1041	microsoft@pec.microsoftpec.it	SI	MICROSOFT S.R.L.	VIALE PASUBIO 21 - MICROSOFT HOUSE 20154 MILANO MI	https://www.aziende.it/microsoft-s-r-l	monitoraitalia.it
146	ENEL GREEN POWER ITALIA S.R.L.	15416251005	SI	15416251005		1588939	SOCIETA' A RESPONSABILITA' LIMITATA	VIA LUIGI BOCCHERINI 15	00198	ROMA	RM	Lazio	272000000	3512	Produzione di energia elettrica da fonti rinnovabili	Energia	08/01/2020	Attiva	1869369000	2024	2720		NO			https://www.aziende.it/enel-green-power-italia-s-r-l	monitoraitalia.it
147	E.ON ENERGIA S.P.A.	03429130234	SI		MI	1786010	SOCIETA' PER AZIONI	Via Dell'unione 1	20122	Milano	MI	Lombardia	10000000	35.23	Commercio di gas distribuito mediante condotte	Energia	01/02/2005	Attiva	1857767500	2024	440	eonenergia@legalmail.it	SI	E.ON ENERGIA SPA	VIA DELL'UNIONE 1 20122 MILANO MI	https://www.aziende.it/e-on-energia-s-p-a	monitoraitalia.it
148	PHILIP MORRIS MANUFACTURING & TECHNOLOGY BOLOGNA S.P.A.	00737070151	SI	00737070151		601404	SOCIETA' PER AZIONI	PIAZZA BELGIOIOSO 2	20121	MILANO	MI	Lombardia	186000	12	Produzione di prodotti del tabacco	Manifatturiero	27/06/1962	Attivo	1847734800	2024	2351		SI	PHILIP MORRIS MANUFACTURING & TECHNOLOGY BOLOGNA S.P.A.	PIAZZA BELGIOIOSO 2 20121 MILANO MI	https://www.aziende.it/philip-morris-manufacturing-technology-bologna-s-p-a	monitoraitalia.it
149	BASF ITALIA S.P.A.	00688460963	SI	00717180152	MB	349252	SOCIETA' PER AZIONI	Via Marconato 8	20811	Cesano Maderno	MB	Lombardia	100000000	20.59.99	Fabbricazione di tutti gli altri prodotti chimici vari n.c.a.	Manifatturiero	26/09/1946	Attiva	1844007000	2024	1020	basfitalia.pec@legalmail.it	SI	BASF ITALIA S.P.A.	VIA MARCONATO 8 20811 CESANO MADERNO MB	https://www.aziende.it/basf-italia-s-p-a	monitoraitalia.it
150	EUROSPIN LAZIO S.P.A.	04766841003	SI	01679010593	LT	128943	Società per Azioni	Via Francesco Baracca 2/4/6	04011	Aprilia	LT	Lazio	5000000	47.11.02	Commercio al dettaglio non specializzato con prevalenza di altri prodotti alimentari, bevande o tabacchi	Commercio	01/10/1995	Attiva	1820667900	2024	4719	eurospin.lazio@pec.eurospin.com	SI	EUROSPIN LAZIO SPA	VIA FRANCESCO BARACCA 2/4/6 04011 APRILIA LT	https://www.aziende.it/eurospin-lazio-spa	monitoraitalia.it
151	ACEA ENERGIA S.P.A.	07305361003	SI	07305361003	RM	1024226	SOCIETA' PER AZIONI	Piazzale Ostiense 2	00154	Roma	RM	Lazio	10000000	35.15	Commercio di energia elettrica	Energia	18/12/2002	Attiva	1818312200	2024	350	ae.spa@pec.aceaspa.it	SI	ACEA ENERGIA SPA	VIA DELL' ARTE 73/77 00144 ROMA RM	https://www.aziende.it/acea-energia-s-p-a	monitoraitalia.it
152	SHELL ENERGY ITALIA S.R.L.	04522681008	SI	04522681008	MI	1780764	SOCIETA' A RESPONSABILITA' LIMITATA	Via Vittor Pisani 16	20124	Milano	MI	Lombardia	11888083	35.23	Commercio di gas distribuito mediante condotte	Energia	15/06/2005	Attiva	1817981800	2024	84	shell.energyitalia@legalmail.it	SI	SHELL ENERGY ITALIA SRL	VIA VITTOR PISANI 16 20124 MILANO MI	https://www.aziende.it/shell-energy-italia-s-r-l	monitoraitalia.it
153	FERRERO COMMERCIALE ITALIA S.R.L.. CON UNICO SOCIO	03629090048	SI	03629090048	CN	304909	SOCIETÀ A RESPONSABILITÀ LIMITATA	Piazzale Pietro Ferrero 1	12051	Alba	CN	Piemonte	20000000	46.36	Commercio all'ingrosso di zucchero, cioccolato, dolciumi e prodotti da forno	Manifatturiero	18/12/2015	Attiva	1817310100	2024	770	ferrerocommercialeitaliasrl@pec.ferrero.com	SI	FERRERO COMMERCIALE ITALIA S.R.L. CON UNICO SOCIO	PIAZZALE PIETRO FERRERO 1 12051 ALBA CN	https://www.aziende.it/ferrero-commerciale-italia-s-r-l	monitoraitalia.it
154	IREN ENERGIA S.P.A.	09357630012	SI	09357630012		1045119	SOCIETA' PER AZIONI	CORSO SVIZZERA 95	10143	TORINO	TO	Piemonte	918767148	432206		Energia	31/10/2006	Attiva	1803995900	2024			NO			https://www.aziende.it/iren-energia-s-p-a	monitoraitalia.it
155	TTEP ITALIA S.P.A.	13243061002	SI	13243061002	RM	1432101	Società per Azioni	Via Di San Basilio 72	00187	Roma	RM	Lazio	50000000	35.1	Produzione, Trasmissione E Distribuzione Di Energia Elettrica	Energia	2015	Attiva	1786091400	2024	172	epproduzione@pec.it	SI	TTEP ITALIA S.P.A.	VIA DI SAN BASILIO 72 00187 ROMA RM	https://www.aziende.it/ep-produzione-s-p-a	monitoraitalia.it
156	BRICOMAN ITALIA S.R.L.	05602670969	SI	05602670969	MI	1833919	Società a Responsabilità Limitata	Via Guglielmo Marconi 24	20089	Rozzano	MI	Lombardia	65000000	47.52.1	Commercio al dettaglio di ferramenta, vernici, vetro piano e materiale elettrico e termoidraulico	Commercio	17/07/2008	Attiva	1765700300	2024	5045	bricoman@pec.bricoman.it	SI	BRICOMAN ITALIA S.R.L.	VIA GUGLIELMO MARCONI 24 20089 ROZZANO MI	https://www.aziende.it/bricoman-italia-s-r-l	monitoraitalia.it
157	INALCA S.P.A.	02562260360	SI	01825020363	MO	311469	SOCIETA' PER AZIONI	Via Spilamberto 30/c	41014	Castelvetro di Modena	MO	Emilia-Romagna	187017167	10.1	LAVORAZIONE E CONSERVAZIONE DI CARNE E PRODUZIONE DI PRODOTTI A BASE DI CARNE	Manifatturiero	17/04/1989	Attiva	1749912100	2024	1072	inalca@pec.inalca.it	SI	INALCA S.P.A.	VIA SPILAMBERTO 30/C 41014 CASTELVETRO DI MODENA MO	https://www.aziende.it/inalca-societa-per-azioni	monitoraitalia.it
158	LEROY MERLIN ITALIA S.R.L.	05602710963	SI	05602710963	MI	1833923	SOCIETA' A RESPONSABILITA' LIMITATA	Strada 8 Palazzo N Snc	20089	Rozzano	MI	Lombardia	50000000	47.12.3	Commercio al dettaglio non specializzato con prevalenza di ferramenta, materiali da costruzione e piante	Commercio	01/04/2007	Attiva	1742875500	2024	8228	inbox@pec.leroymerlin.it	SI	LEROY MERLIN ITALIA S.R.L.	STRADA 8 PALAZZO N SNC 20089 ROZZANO MI	https://www.aziende.it/leroy-merlin-italia-s-r-l	monitoraitalia.it
159	ITALGAS RETI S.P.A.	00489490011	SI	00489490011		1082	SOCIETA' PER AZIONI	LARGO REGIO PARCO 11	10152	TORINO	TO	Piemonte	252263314	3521		Energia	26/04/1856	Attiva	1726107600	2024			NO			https://www.aziende.it/italgas-reti-spa	monitoraitalia.it
160	GI GROUP S.P.A.	11629770154	SI	11629770154		1482329	SOCIETA' PER AZIONI	PIAZZA QUATTRO NOVEMBRE 5	20124	MILANO	MI	Lombardia	20000000	782		Altri servizi	11/05/1998	Attiva	1725109200	2024			NO			https://www.aziende.it/gi-group-s-p-a	monitoraitalia.it
161	INDUSTRIES S.P.A.	04804070961	SI	04804070961	MI	1773341	SOCIETA' PER AZIONI	Via Enrico Stendhal 47	20144	Milano	MI	Lombardia	15000000	14.21.1	Fabbricazione in serie di abbigliamento esterno	Manifatturiero	01/05/2005	Attiva	1718529300	2024	1794	industries@legalmail.it	SI	INDUSTRIES S.P.A.	VIA STENDHAL 47 20144 MILANO MI	https://www.aziende.it/industries-s-p-a	monitoraitalia.it
162	SARLUX S.R.L.	02093140925	SI	02093140925		161819	SOCIETA' A RESPONSABILITA' LIMITATA	STRADA STATALE 195	09018	SARROCH	CA	Sardegna	100000000	19201		Petrolchimica	22/09/1993		1707937900	2024			NO			https://www.aziende.it/sarlux-s-r-l	monitoraitalia.it
163	GUCCI LOGISTICA S.P.A.	04773230489	SI	04773230489	FI	478423	SOCIETA' PER AZIONI	Via Don Lorenzo Perosi 6	50018	Scandicci	FI	Toscana	5304000	15.12	Fabbricazione di articoli da viaggio, borse e simili, pelletteria e selleria	Manifatturiero	06/12/1996	Attiva	1692043300	2024	1408	guccilogistica@pec.gucci.com	SI	GUCCI LOGISTICA SPA	VIA DON LORENZO PEROSI 6 50018 SCANDICCI FI	https://www.aziende.it/gucci-logistica-societa-per-azioni	monitoraitalia.it
164	HERA S.P.A.	04245520376	SI	04245520376		363550	SOCIETA' PER AZIONI	VIALE CARLO BERTI PICHAT 2/4	40127	BOLOGNA	BO	Emilia-Romagna	1489538745	36		Energia	01/01/1997	Attiva	1687599300	2024			NO			https://www.aziende.it/hera-s-p-a	monitoraitalia.it
165	CE.DI. GROS - SOCIETA' CONSORTILE A RESPONSABILITA' LIMITATA (IN BREVE CE.DI. GROS - S.C.A R.L..)	06564861000	SI	06564861000		976668	SOCIETA' CONSORTILE A RESPONSABILITA' LIMITATA	VIA DI TOR TRE TESTE 222	00155	ROMA	RM	Lazio	20000000	4638		Commercio	20/01/2002	Attiva	1666633400	2024			SI	CE.DI. GROS - SOCIETA' CONSORTILE A RESPONSABILITA' LIMITATA	VIA DI TOR TRE TESTE 222 00155 ROMA RM	https://www.aziende.it/ce-di-gros-s-c-a-r-l	monitoraitalia.it
166	LEASYS ITALIA S.P.A.	06714021000	SI	08083020019	TO	960205	SOCIETA' PER AZIONI	Corso Orbassano N 367	10137	Torino	TO	Piemonte	77979400	77.11	Noleggio di autovetture ed autoveicoli leggeri	Altri servizi	03/09/2001	Attiva	1660455300	2024	487	leasys@pec.fcagroup.com	SI	LEASYS ITALIA S.P.A	CORSO ORBASSANO N 367 10137 TORINO TO	https://www.aziende.it/leasys-s-p-a	monitoraitalia.it
167	PUBLITALIA 80 CONCESSIONARIA PUBBLICITA S.P.A.. E IN FORMA ABBREVIATA PUBLITALIA 80 S.P.A.	04529390157	SI	04529390157		1020976	SOCIETA' PER AZIONI	VIA PIETRO PALEOCAPA 0003	20121	MILANO	MI	Lombardia	52000000	7312		Altri servizi	13/09/1979	Attiva	1658635200	2024			SI	PUBLITALIA 80 SPA	VIA PALEOCAPA N 3 20121 MILANO MI	https://www.aziende.it/publitalia-80-s-p-a	monitoraitalia.it
168	MAGIS ENERGIA S.P.A.	02968430237	SI	02968430237		298474	SOCIETA' PER AZIONI	LUNGADIGE GALTAROSSA 8	37133	VERONA	VR	Veneto	5271481	351		Energia	28/09/1999	Attiva	1652267700	2024			SI	MAGIS ENERGIA S.P.A.	LUNGADIGE GALTAROSSA 8 37133 VERONA VR	https://www.aziende.it/magis-energia-s-p-a	monitoraitalia.it
169	ACQUIRENTE UNICO S.P.A.. IN FORMA ABBREVIATA AU S.P.A.	05877611003	SI	05877611003		932346	SOCIETA' PER AZIONI	VIA GUIDUBALDO DEL MONTE 45	00197	ROMA	RM	Lazio	7500000	3515		Energia	28/06/2002	Attiva	1638167600	2024			SI	ACQUIRENTE UNICO S.P.A.	VIA GUIDUBALDO DEL MONTE 45 00197 ROMA RM	https://www.aziende.it/acquirente-unico-s-p-a	aziende.it; monitoraitalia.it
170	REPOWER ITALIA S.P.A. A SOCIO UNI CO	00789540143	SI	00789540143	MI	1689851	Società per Azioni	Via Giulio Uberti 37	20129	Milano	MI	Lombardia	2000000	35.15	Commercio di energia elettrica	Energia	01/07/2002	Attiva	1634697800	2024	161	repower.it@pec.repower.com	SI	REPOWER ITALIA SPA A SOCIO UNI CO !!REZIA	VIA GIULIO UBERTI 37 20129 MILANO MI	https://www.aziende.it/repower-italia-s-p-a	monitoraitalia.it
171	SOCIETA' REGIONALE PER LA SANITA S.P.A.. IN BREVE SO.RE.S.A.S.P.A.	04786681215	SI	04786681215		713890	SOCIETA' PER AZIONI	CENTRO DIREZIONALE DI NAPOLI 3	80143	NAPOLI	NA	Campania	500000	84		Altri servizi	28/04/2004	Attiva	1611567000	2024			SI	'SOCIETA' REGIONALE PER LA SANITA' S.P.A.' IN BREVE SO.RE.SA	CENTRO DIREZIONALE DI NAPOLI IS G/3 80143 NAPOLI NA	https://www.aziende.it/societa-regionale-per-la-sanita-s-p-a	monitoraitalia.it
172	LORO PIANA S.P.A.	01611400027	SI	08075900152		151276	SOCIETA' PER AZIONI	Corso Rolandi 10	13017	Quarona	VC	Piemonte	40000000	14.1	Confezione di articoli di abbigliamento (escluso abbigliamento in pelliccia)	Manifatturiero	29/09/1988	Attiva	1609456200	2024			SI	LORO PIANA S.P.A.	CORSO ROLANDI 10 13017 QUARONA VC	https://www.aziende.it/loro-piana-s-p-a	monitoraitalia.it
173	TD SYNNEX ITALY S.R.L.	07092780159	SI	07092780159		1141341	SOCIETA' A RESPONSABILITA' LIMITATA	VIA LUIGI RUSSOLO 9	20138	MILANO	MI	Lombardia	12569000	581	Edizione di libri, quotidiani e altre attivita' editoriali, esclusa l'edizione di software	Altri servizi	09/09/1983	Attivo	1603284500	2024	350		SI	TD SYNNEX ITALY S.R.L.	VIA LUIGI RUSSOLO 9 20138 MILANO MI	https://www.aziende.it/tech-data-italia-srl	monitoraitalia.it
174	GE AVIO S.R.L.	10898340012	SI	10898340012	TO	1170622	SOCIETA' A RESPONSABILITA' LIMITATA	Via I Maggio 99	10040	Rivalta di Torino	TO	Piemonte	40000000	30.3	FABBRICAZIONE DI AEROMOBILI, DI VEICOLI SPAZIALI E DEI RELATIVI DISPOSITIVI	Manifatturiero	01/08/2013	Attiva	1601451500	2024	4814	ge-avio@pec.avioaero.com	SI	GE AVIO S.R.L.	VIA I MAGGIO 99 10040 RIVALTA DI TORINO TO	https://www.aziende.it/ge-avio-s-r-l	monitoraitalia.it
175	PENNY MARKET S.R.L.	12619750156	SI	12619750156	MI	1569749	SOCIETA' A RESPONSABILITA' LIMITATA	Strada Padana Superiore 11 2/b	20063	Cernusco Sul Naviglio	MI	Lombardia	6305000	47.11.02	Commercio al dettaglio non specializzato con prevalenza di altri prodotti alimentari, bevande o tabacchi	Commercio	08/01/2005	Attiva	1600000000	2024	5059	pennymarket@pec.it	SI	PENNY MARKET SRL	STRADA PADANA SUPERIORE 11 2/B, 20063 CERNUSCO SUL NAVIGLIO MI	https://www.aziende.it/penny-market-s-r-l	monitoraitalia.it
176	IP SERVICES S.R.L.	06303151002	SI	06303151002	RM	959233	SOCIETA' A RESPONSABILITA' LIMITATA	Via Salaria 1322	00138	Roma	RM	Lazio	100000	47.3	COMMERCIO AL DETTAGLIO DI CARBURANTE PER AUTOTRAZIONE IN ESERCIZI SPECIALIZZATI	Petrolchimica	16/02/2002	Attiva	1595436300	2024	1	ipservices@pec.gruppoapi.com	SI	IP SERVICES S.R.L.	VIA SALARIA 1322 00138 ROMA RM	https://www.aziende.it/ip-services-s-r-l	monitoraitalia.it
177	CREDITO EMILIANO S.P.A.. ABBREVIABILE IN CREDEMBANCA E IN CREDEM	00766790356	SI	01806740153		219769	SOCIETA' PER AZIONI	VIA EMILIA A SAN PIETRO 4	42121	REGGIO NELL'EMILIA	RE	Emilia-Romagna	341320065	64191		Finanza	11/10/1997	Attiva	1564200000	2024			NO			https://www.ufficiocamerale.it/7468/credito-emiliano-spa-abbreviabile-in-credembanca-e-in-credem	monitoraitalia.it
