Rank	Ragione sociale	Partita IVA	P.IVA valida (checksum)	Codice fiscale	N. REA	CCIAA	Forma giuridica	Indirizzo sede legale	CAP	Comune	Prov.	Capitale sociale (€)	ATECO	Data iscrizione	Stato attività	Fatturato (€)	Anno bilancio	Dipendenti	PEC	VIES valida	Denominazione VIES	Indirizzo VIES	Fonte anagrafica (URL)
72	FPT INDUSTRIAL S.P.A.	09397710014	SI	09397710014	1048700	TO	SOCIETA' PER AZIONI	VIA PUGLIA 15	10156	TORINO	TO	100000000	291 (Fabbricazione di autoveicoli)	01/12/2010	Active	3172669673	2024	5235	fptindustrial@legalmail.it	SI	FPT INDUSTRIAL SPA	VIA PUGLIA 15 10156 TORINO TO	https://www.ufficiocamerale.it/1737/fpt-industrial-spa-o-per-esteso-fiat-powertrain-technologies-industrial-spa
73	CONAD NORD OVEST SOCIETA' COOPERATIVA	01977130473	SI	01977130473	195966	PT	SOCIETA' COOPERATIVA	VIA BURE VECCHIA NORD 10	51100	PISTOIA	PT	91808446	4639	01/10/2019		3147949713	2024	510		SI	CONAD NORD OVEST SOCIETA' COOPERATIVA	VIA BURE VECCHIA NORD 10 51100 PISTOIA PT	https://www.ufficiocamerale.it/3568/conad-nord-ovest-societa-cooperativa
74	UNICOOP FIRENZE SOCIETA' COOPERATIVA	00407780485	SI	00407780485	34781	FI	SOCIETA' COOPERATIVA	VIA SANTA REPARATA 43	50129	FIRENZE	FI	16336006	471102	14/10/1988	Attiva	3133316848	2024	8422		SI	UNICOOP FIRENZE S.C.	VIA SANTA REPARATA 43, 50129 FIRENZE FI	https://www.ufficiocamerale.it/4724/unicoop-firenze-societa-cooperativa-in-sigla-unicoop-firenze-sc
75	SORGENIA S.P.A.	12874490159	SI	07756640012	1594238	MI	SOCIETA' PER AZIONI	VIA ALESSANDRO ALGARDI 4	20148	MILANO	MI	150000000	3515	09/07/1999	Attiva	3114146708	2024	406	sorgenia@legalmail.it	SI	SORGENIA S.P.A.	VIA ALESSANDRO ALGARDI 4 20148 MILANO MI	https://www.ufficiocamerale.it/4386/sorgenia-spa
76	AUTOMOBILI LAMBORGHINI S.P.A.	00591801204	SI	03049840378	259882	BO	SOCIETA' PER AZIONI	VIA MODENA 12	40019	SANT'AGATA BOLOGNESE	BO	130000000	291 (Fabbricazione di autoveicoli)	25/08/1980	Active	3097478927	2024	2538		SI	AUTOMOBILI LAMBORGHINI SPA	VIA MODENA 12 40019 SANT'AGATA BOLOGNESE BO	https://www.ufficiocamerale.it/3283/automobili-lamborghini-spa
77	DATWAVE S.R.L.	13533200963	SI	13533200963	2728869	MI	SOCIETA' A RESPONSABILITA' LIMITATA	PIAZZA SAN BABILA 5	20122	MILANO	MI	100000	62201	29/04/2024	Attivo	3071333000	2024		datwave@pec.it	SI	DATWAVE SRL	PIAZZA SAN BABILA 5 20123 MILANO MI	https://www.ufficiocamerale.it/3782/datwave-srl
78	TOYOTA MOTOR ITALIA S.P.A.	03926291000	SI	03926291000	713082	RM	SOCIETA' PER AZIONI	VIA KIICIRO TOYODA 2	00148	ROMA	RM	38958000	46711	25/03/1991	Attiva	3064707973	2024	217		SI	TOYOTA MOTOR ITALIA S.P.A.	VIA KIICIRO TOYODA 2 00148 ROMA RM	https://www.ufficiocamerale.it/5853/toyota-motor-italia-spa
79	AMAZON BUSINESS EU SARL	13397910962	SI	13397910962	2691078	MI	SOCIETA' COSTITUITA IN BASE A LEGGI DI ALTRO STATO	AVENUE JOHN F. KENNEDY 38			EE		471102		Attiva	3053732339	2024			SI	AMAZON BUSINESS EU SARL	VIALE MONTE GRAPPA 3/5 20124 MILANO MI	https://www.ufficiocamerale.it/8897/amazon-business-eu-sarl
80	ACCENTURE S.P.A.	13454210157	SI	13454210157	1652886	MI	SOCIETA' PER AZIONI	VIA NINO BONNET 10	20154	MILANO	MI	1843248.6	621	31/05/2001	Attivo	2997078990	2024	13124		SI	ACCENTURE S.P.A.	VIA PRIVATA NINO BONNET 10 20154 MILANO MI	https://www.ufficiocamerale.it/2057/accenture-spa
81	PRADA S.P.A.	10115350158	SI	10115350158	1343952	MI	SOCIETA' PER AZIONI	VIA ANTONIO FOGAZZARO 28	20135	MILANO	MI	255882400	4771	11/07/1990	Attiva	2976971031	2024	5450	prada@legalmail.it	SI	PRADA S.P.A.	VIA FOGAZZARO 28 20135 MILANO MI	https://www.ufficiocamerale.it/5182/prada-spa
82	TERNA - RETE ELETTRICA NAZIONALE S.P.A.	05779661007	SI	05779661007	922416	RM	SOCIETA' PER AZIONI	Viale Egidio Galbani n. 70	00156	Roma	RM	442198240	3513	01/10/1999	Attiva	2960604537	2024	1222	terna@pec.terna.it	SI	TERNA-RETE ELETTRICA NAZIONALE SOCIETA' PER AZIONI	VIALE E GALBANI 70 00156 ROMA RM	https://www.ufficiocamerale.it/7818/terna-rete-elettrica-nazionale-societa-per-azioni-in-forma-abbreviata-terna-spa
83	HITACHI RAIL STS S.P.A.	01371160662	SI	01371160662	761628	NA	SOCIETA' PER AZIONI	VIA ARGINE 425	80147	NAPOLI	NA	100000000	302	21/11/2005		2956092187	2024	4574		SI	HITACHI RAIL STS S.P.A.	VIA ARGINE 425 80147 NAPOLI NA	https://www.ufficiocamerale.it/2107/hitachi-rail-sts-spa
84	SNAM RETE GAS S.P.A.	10238291008	SI	10238291008	1964271	MI	SOCIETA' PER AZIONI CON SOCIO UNICO	VIA VEZZA D'OGLIO 6	20139	MILANO	MI	1200000000	49501	01/01/2012	Attiva	2934458041	2024	1976	snam.retegasweb@legalmail.it	SI	SNAM RETE GAS S.P.A.	VIA VEZZA D'OGLIO 6 20139 MILANO MI	https://www.ufficiocamerale.it/2734/snam-rete-gas-spa
85	ITALIA TRASPORTO AEREO S.P.A.	15907661001	SI	15907661001	1622937	RM	SOCIETA' PER AZIONI	VIA VENTI SETTEMBRE 97	00187	ROMA	RM	792682926.83	51101	21/12/2020	Attiva	2919767113	2024	4678		SI	ITALIA TRASPORTO AEREO S.P.A.	VIA VENTI SETTEMBRE N 97 00187 ROMA RM	https://www.ufficiocamerale.it/1528/italia-trasporto-aereo-spa
86	ABB S.P.A.	11988960156	SI	00736410150	1513225	MI	SOCIETA' PER AZIONI	VIA VITTOR PISANI 16	20124	MILANO	MI	110000000	2712	01/01/1999	Attiva	2903142168	2024	5221		SI	ABB S.P.A.	VIA VITTOR PISANI N 16 20124 MILANO MI	https://www.ufficiocamerale.it/9886/abb-spa
87	RETE FERROVIARIA ITALIANA - RFI S.P.A.	01008081000	SI	01585570581	758300	RM	SOCIETA' PER AZIONI CON SOCIO UNICO	PIAZZA DELLA CROCE ROSSA 1	00161	ROMA	RM	31536472466	49	10/09/1992	Attiva	2877373192	2024	32586	rfi@legalmail.it	SI	RETE FERROVIARIA ITALIANA - SOCIETA' PER AZIONI	PIAZZA DELLA CROCE ROSSA 1 00161 ROMA RM	https://www.ufficiocamerale.it/1279/rete-ferroviaria-italiana-societa-per-azioni-in-sigla-rfi-s-pa
88	VERSALIS S.P.A.	01768800748	SI	03823300821	1351279	MI	SOCIETA' PER AZIONI	VIA ALCIDE DE GASPERI 2	20097	SAN DONATO MILANESE	MI	200000000	2014	18/03/1991	Attiva	2874562033	2024	4201		SI	VERSALIS S.P.A.	PIAZZA BOLDRINI 1 20097 SAN DONATO MILANESE MI	https://www.ufficiocamerale.it/8381/versalis-spa
89	AGRICOLA TRE VALLI - SOCIETA' COOPERATIVA	02447620234	SI	01631760236	237732	VR	SOCIETA' COOPERATIVA	VIA VALPANTENA 18/G	37142	VERONA	VR	160650	1012	08/01/1993	Attiva	2844345675	2024	8346		SI	AGRICOLA TRE VALLI SOCIETA' COOPERATIVA	VIA VALPANTENA 18/G 37142 VERONA VR	https://www.ufficiocamerale.it/7630/agricola-tre-valli-societa-cooperativa
90	STMICROELECTRONICS S.R.L.	00951900968	SI	09291380153	1281765	MB	SOCIETA' A RESPONSABILITA' LIMITATA	VIA CAMILLO OLIVETTI 2	20864	AGRATE BRIANZA	MB	580000000	261	18/06/1988	Attiva	2842515755	2024	12704	stmicroelectronics@pec.legalmail.it	SI	STMICROELECTRONICS S.R.L.	VIA C OLIVETTI 2 20864 AGRATE BRIANZA MB	https://www.ufficiocamerale.it/1007/stmicroelectronics-srl
91	FASTWEB S.P.A.	12878470157	SI	12878470157	1591912	MI	SOCIETA' PER AZIONI	Piazza Adriano Olivetti 1	20139	Milano	MI	41344209.4	61	01/12/2004	Attiva	2796960059	2024	3203		SI	FASTWEB SPA	PIAZZA A OLIVETTI 1 20139 MILANO MI	https://www.ufficiocamerale.it/1409/fastweb-spa
92	MAXI DI S.R.L.	00542090238	SI	00542090238	142404	VR	SOCIETA' A RESPONSABILITA' LIMITATA	VIALE DEL LAVORO 20	37050	BELFIORE	VR	10000000	471102	25/03/1975		2764577752	2024	7210		SI	MAXI DI SRL	VIALE DEL LAVORO 20 37050 BELFIORE VR	https://www.ufficiocamerale.it/5898/maxi-di-srl
93	CNH INDUSTRIAL ITALIA S.P.A.	00370290363	SI	00370290363	489362	TO	SOCIETA' PER AZIONI	LUNGOSTURA LAZIO 19	10156	TORINO	TO	56225000	28301	01/09/1974		2752445507	2024	4956		SI	CNH INDUSTRIAL ITALIA SPA	LUNGO STURA LAZIO 19 10156 TORINO TO	https://www.ufficiocamerale.it/4257/cnh-industrial-italia-spa
94	ACCIAIERIA ARVEDI S.P.A.	11852670154	SI	00910070192	1497770	MI	SOCIETA' PER AZIONI	VIALE ENRICO FORLANINI 23	20134	MILANO	MI	112900000	241	30/12/2004	Attiva	2706877542	2024	2028		SI	ACCIAIERIA ARVEDI S.P.A.	VIALE FORLANINI 23 20134 MILANO MI	https://www.ufficiocamerale.it/5046/acciaieria-arvedi-spa
95	SONY EUROPE B.V.	10496660969	SI	10496660969	2535704	MI	SOCIETA' COSTITUITA IN BASE A LEGGI DI ALTRO STATO	TAURUSAVENUE 16			EE		4619		Attiva	2696000000	2024	76		SI	SONY EUROPE B.V.	VIA MONFALCONE 20 20132 MILANO MI	https://www.ufficiocamerale.it/8438/sony-europe-bv
96	CONAD - CONSORZIO NAZIONALE DETTAGLIANTI S.P.A.	03320960374	SI	00865960157	195010	BO	SOCIETA' COOPERATIVA	VIA MICHELINO 59	40127	BOLOGNA	BO		4619	13/05/1962	Attiva	2693227072	2024	257		SI	CONAD - CONSORZIO NAZIONALE DETTAGLIANTI - SOCIETA' COOPERAT!!CONAD	VIA MICHELINO 59 40127 BOLOGNA BO	https://www.ufficiocamerale.it/5236/conad-consorzio-nazionale-dettaglianti-societa-cooperativa-in-sigla-conad
97	AUTOTORINO S.P.A.	10024610155	SI	10024610155	1336962	MI	SOCIETA' PER AZIONI	VIA ANSPERTO 7	20123	MILANO	MI	11427000	47811	13/05/1991	Attiva	2676498011	2024	2244		SI	AUTOTORINO S.P.A.	VIA ANSPERTO 7 20123 MILANO MI	https://www.ufficiocamerale.it/6056/autotorino-spa
98	BARILLA G. E R. FRATELLI S.P.A.	01654010345	SI	01654010345	169146	PR	SOCIETA' PER AZIONI	VIA MANTOVA 166	43122	PARMA	PR	180639990	1073	01/01/1989	Attiva	2630757873	2024	4079		SI	BARILLA G. E R. FRATELLI S.P.A	VIA MANTOVA 166 43122 PARMA PR	https://www.ufficiocamerale.it/6149/barilla-g-e-r-fratelli-societa-per-azioni
99	PHILIP MORRIS ITALIA S.R.L.	06657521008	SI	06657521008	981615	RM	SOCIETA' A RESPONSABILITA' LIMITATA	VIA PO 11-15	00198	ROMA	RM	5000000	12	01/09/2001	Attiva	2626115296	2024	822		SI	PHILIP MORRIS ITALIA S.R.L.	VIA PO 11-13-15 00198 ROMA RM	https://www.ufficiocamerale.it/1168/philip-morris-italia-srl
100	FORD ITALIA S.P.A.	00894451004	SI	00443120589	221081	RM	SOCIETA' PER AZIONI	VIA DEL SERAFICO 89	00142	ROMA	RM	250000	46711	20/02/2008	Attiva	2618629000	2024	152		SI	FORD ITALIA SPA	VIA DEL SERAFICO 89 PAL D 00142 ROMA RM	https://www.ufficiocamerale.it/6655/ford-italia-spa
